UKPMSSection,SectionDescription,Region,Site,RoadType,RoadName,Length,Ward,StartNode,EndNode,StartNodeEasting,StartNodeNorthing,EndNodeEasting,EndNodeNorthing,StartNodeLat,StartNodeLong,EndNodeLat,EndNodeLong
016/04424/010,"A167 North West Radial - Southbound - from Cowgate R/bt to centre Great North Road overbridge",025,04424,Principal,"JEDBURGH ROAD (NORTH WEST RADIAL ROUTE)",2989,Wingrove,A167-0315,A167-0320,422094,566206,424889,565444,54.989879040723,-1.6546642330197,54.98289907525,-1.61104483336
016/04424/045,"A167 North West Radial North Terrace link road (Claremont Road r/bt north to end)",025,04424,Principal,"JEDBURGH ROAD (NORTH WEST RADIAL ROUTE)",90,Wingrove,A167-0345,A167-0350,424410,565426,424436,565498,54.982761011815,-1.6185317976086,54.983406804235,-1.618119349832
005/00776/005,"A1058 Coast Road - Eastbound - from Stephenson Road (Bullnose) to Boundary (centre railway overbridge)",014,00776,Principal,"COAST ROAD",1465,"North Heaton",A1058-0305,A1058-0310,426839,566431,428216,566907,54.991667991201,-1.5804794058395,54.995869663734,-1.5589092863105
005/00776/010,"A1058 Coast Road - Westbound - from Boundary (centre railway overbridge) to Stephenson Road (Bullnose)",014,00776,Principal,"COAST ROAD",1455,"North Heaton",A1058-0315,A1058-0320,428211,566895,426842,566424,54.995762103562,-1.558988629663,54.991604920565,-1.5804331704836
017/02583/003,"A167 Ponteland Road -  Cowgate R/bt",011,02583,Principal,"PONTELAND ROAD",202,Blakelaw,A167-0405,A167-0405,422090,566186,422090,566186,54.989699476752,-1.6547282958561,54.989699476752,-1.6547282958561
017/02583/005,"A167 Ponteland Road - from Cowgate R/bt to A167 / A191 Springfield Rd R/bt",011,02583,Principal,"PONTELAND ROAD",594,Kenton,A167-0410,A167-0415,422065,566238,421803,566727,54.990167912775,-1.6551150365481,54.994574130598,-1.6591728822144
017/02583/007,"A167 Ponteland Road - A167 / A191 Springfield Road R/bt",011,02583,Principal,"PONTELAND ROAD",140,Blakelaw,A167-0415,A167-0415,421803,566727,421803,566727,54.994574130598,-1.6591728822144,54.994574130598,-1.6591728822144
017/02583/010,"A167 Ponteland Road - Northbound - from A191 Springfield Rd R/bt to Blakelaw Rd R/bt",011,02583,Principal,"PONTELAND ROAD",335,Blakelaw,A167-0420,A167-0425,421764,566752,421602,567043,54.994800513575,-1.6597806221559,54.997422805499,-1.6622910285727
017/02583/017,"A167 Ponteland Road - Southbound - from Blakelaw Rd R/bt to A191 Springfield Road R/bt",011,02583,Principal,"PONTELAND ROAD",330,Kenton,A167-0430,A167-0435,421622,567053,421777,566765,54.997511807954,-1.6619776146189,54.99491677704,-1.6595764184505
017/02583/011,"A167 Ponteland Road -  Blakelaw Road R/bt",011,02583,Principal,"PONTELAND ROAD",93,Kenton,A167-0440,A167-0440,421614,567045,421614,567045,54.997440258803,-1.662103282444,54.997440258803,-1.662103282444
017/02583/012,"A167 Ponteland Road - Northbound - from Blakelaw Rd R/bt to A167 / A191 Kenton Lane R/bt",011,02583,Principal,"PONTELAND ROAD",461,Blakelaw,A167-0445,A167-0450,421593,567064,421394,567477,54.997611924334,-1.6624301405232,55.001332174276,-1.6655102321053
017/02583/016,"A167 Ponteland Road - Southbound - from A191 Kenton Lane R/bt to Blakelaw Rd R/bt",011,02583,Principal,"PONTELAND ROAD",458,Kenton,A167-0455,A167-0460,421419,567489,421610,567074,55.00143894394,-1.665118472603,54.997701057372,-1.6621636244971
017/02583/013,"A167 Ponteland Road -  A167 / A191 Kenton Lane R/bt",011,02583,Principal,"PONTELAND ROAD",186,Blakelaw,A167-0465,A167-0465,421408,567482,421408,567482,55.001376507694,-1.6652909757264,55.001376507694,-1.6652909757264
017/02583/014,"A167 Ponteland Road - Northbound - from A191 Kenton Lane R/bt to A1 Interchange",011,02583,Principal,"PONTELAND ROAD",350,Blakelaw,A167-0470,A167-0475,421373,567528,421303,567859,55.001791416648,-1.6658347460459,55.004769134983,-1.6669045240368
017/02583/015,"A167 Ponteland Road - Southbound - from A1 Interchange to A191 Kenton Lane R/bt",011,02583,Principal,"PONTELAND ROAD",375,Kenton,A167-0480,A167-0485,421344,567902,421409,567536,55.005153821984,-1.6662602484857,55.001861766106,-1.6652713008521
024/03794/017,"A167 Stamfordham Road - A167 / A191 Springfield Rd R/bt",026,03794,Principal,"STAMFORDHAM ROAD",72,Blakelaw,A167-0560,A167-0560,421279,566195,421279,566195,54.989815674467,-1.6674034982192,54.989815674467,-1.6674034982192
024/03794/020,"A167 Stamfordham Road - Westbound - from Silver Lonnon R/bt to Pooley Road R/bt",026,03794,Principal,"STAMFORDHAM ROAD",504,Fenham,A167-0565,A167-0570,421258,566191,420843,566404,54.989780623014,-1.6677320246831,54.991712415012,-1.6742029573909
024/03794/027,"A167 Stamfordham Road - Eastbound - from  Pooley Road R/bt to Silver Lonnen R/bt",026,03794,Principal,"STAMFORDHAM ROAD",502,Blakelaw,A167-0575,A167-0580,420855,566416,421261,566207,54.991819757613,-1.6740145146094,54.98992428827,-1.6676839467793
024/03794/021,"A167 Stamfordham Road - Pooley Road R/bt",026,03794,Principal,"STAMFORDHAM ROAD",79,Fenham,A167-0585,A167-0585,420850,566407,420850,566407,54.991739083222,-1.6740933238541,54.991739083222,-1.6740933238541
024/03794/022,"A167 Stamfordham Road - Westbound - from Pooley Road R/bt to A1 I/C",026,03794,Principal,"STAMFORDHAM ROAD",437,Fenham,A167-0590,A167-0595,420830,566423,420549,566748,54.991883713621,-1.6744047744653,54.994816192411,-1.6787736996937
024/03794/025,"A167 Stamfordham Road - Eastbound - from  A1 Interchange to Pooley Road R/bt",026,03794,Principal,"STAMFORDHAM ROAD",444,Blakelaw,A167-0600,A167-0605,420568,566776,420841,566430,54.995067046274,-1.6784746810009,54.991946162957,-1.6742323262174
019/01006/005,"A191 Denton Road - from A6085 R/bt to B1311 Whickham View R/bt",001,01006,Principal,"DENTON ROAD",1474,"Benwell and Scotswood",A191-0005,A191-0010,419752,564011,419983,565110,54.970250715351,-1.6914210818004,54.980118353753,-1.6877356779727
019/01006/006,"A191 Denton Road - B1311 Whickham View R/bt",001,01006,Principal,"DENTON ROAD",58,"Benwell and Scotswood",A191-0010,A191-0010,419983,565110,419983,565110,54.980118353753,-1.6877356779727,54.980118353753,-1.6877356779727
019/01006/007,"A191 Denton Road - from B1311 Whickham View R/bt to A186 West Road R/bt",001,01006,Principal,"DENTON ROAD",373,"Benwell and Scotswood",A191-0015,A191-0020,419996,565125,420268,565374,54.980252638839,-1.6875314899851,54.982479436983,-1.6832635243177
017/05572/005,"A1056 Rotary Way - from A1 Interchange to B1318 / A1056 Great North Road R/bt",017,05572,Principal,"ROTARY WAY",248,Parklands,A1056-0005,A1056-0105,423907,571218,424136,571316,55.034838196004,-1.6259081085918,55.035707854632,-1.6223165655332
010/01470/205,"A1056 Great North Road - A1056 Rotary Way / B1318 R/bt",010,01470,Principal,"GREAT NORTH ROAD",119,Parklands,A1056-0105,A1056-0105,424136,571316,424136,571316,55.035707854632,-1.6223165655332,55.035707854632,-1.6223165655332
010/01470/210,"A1056 Great North Road - from A1056 Rotary Way / B1318 R/bt to Boundary (Bullnose)",010,01470,Principal,"GREAT NORTH ROAD",336,Parklands,A1056-0110,A1056-0115,424155,571341,424211,571671,55.035931606102,-1.6220171431792,55.038894581211,-1.6211128789816
017/02343/003,"A6085 Newburn Road - A6085 / B6528 R/bt",013,02343,Principal,"NEWBURN ROAD",139,Newburn,A6085-0105,A6085-0105,415818,566879,415818,566879,54.996166286762,-1.7527215675128,54.996166286762,-1.7527215675128
017/02343/005,"A6085 Newburn Road - from A6085 / B6528 R/bt to Station Road",013,02343,Principal,"NEWBURN ROAD",1726,Newburn,A6085-0110,A6085-0205,415825,566839,416564,565378,54.995806578663,-1.7526143510844,54.98265232488,-1.741146511544
026/02582/004,"A6085 Ponteland Road - A69 R/bt North",013,02582,Principal,"PONTELAND ROAD",152,Newburn,A6085-0025,A6085-0025,415649,567643,415649,567643,55.003037800661,-1.7553216915924,55.003037800661,-1.7553216915924
026/02582/005,"A6085 Ponteland Road - from A69 R/bt North to A69 R/bt South",013,02582,Principal,"PONTELAND ROAD",90,Newburn,A6085-0030,A6085-0035,415657,567594,415671,567506,55.002597179566,-1.7551992911668,55.001805871231,-1.7549852200751
026/02582/006,"A6085 Ponteland Road - A69 R/bt South",013,02582,Principal,"PONTELAND ROAD",153,Newburn,A6085-0035,A6085-0035,415671,567506,415671,567506,55.001805871231,-1.7549852200751,55.001805871231,-1.7549852200751
026/02582/007,"A6085 Ponteland Road - from A69 R/bt South to B6528 Hexham Road R/bt",013,02582,Principal,"PONTELAND ROAD",603,Newburn,A6085-0040,A6085-0105,415687,567460,415818,566879,55.001391959073,-1.7547375858905,54.996166286762,-1.7527215675128
014/03505/003,"A6085 Lemington Road - Walbottle Rd R/bt",012,03505,Principal,"LEMINGTON ROAD",40,Lemington,A6085-0305,A6085-0305,417120,565160,417120,565160,54.980674327665,-1.7324707669638,54.980674327665,-1.7324707669638
014/02421/007,"A6085 Northumberland Road - Northumberland Road R/bt",012,02421,Principal,"NORTHUMBERLAND ROAD",39,Lemington,A6085-0410,A6085-0410,418279,564643,418279,564643,54.975986797489,-1.7143926358214,54.975986797489,-1.7143926358214
014/03793/005,"A6085 Scotswood Road - from Northumberland Road R/bt to Newburn Haugh R/bt",012,03793,Principal,"SCOTSWOOD ROAD",1019,Lemington,A6085-0505,A6085-0510,418291,564639,419222,564263,54.975950408532,-1.7142053950349,54.972536198703,-1.6996840693742
014/03793/006,"A6085 Scotswood Road - Newburn Haugh R/bt",012,03793,Principal,"SCOTSWOOD ROAD",101,Lemington,A6085-0510,A6085-0510,419222,564263,419222,564263,54.972536198703,-1.6996840693742,54.972536198703,-1.6996840693742
014/03793/010,"A6085 Scotswood Road - Eastbound - from Newburn Haugh R/bt to A1 /A191 /A6085 R/bt",012,03793,Principal,"SCOTSWOOD ROAD",529,"Benwell and Scotswood",A6085-0515,A6085-0520,419243,564252,419703,564006,54.972436529699,-1.6993567182398,54.970207719374,-1.6921869237905
014/03793/015,"A6085 Scotswood Road - Westbound - from A1 / A191 / A6085 R/bt to Newburn Haugh R/bt",012,03793,Principal,"SCOTSWOOD ROAD",563,"Benwell and Scotswood",A6085-0525,A6085-0530,419724,563968,419232,564231,54.969865377595,-1.6918614677738,54.972248224492,-1.6995299831979
015/02224/005,"A193 Millers Road - A193 / A188 R/bt",018,02224,Principal,"MILLERS ROAD",53,"South Heaton",A193-0105,A193-0105,427335,565185,427335,565185,54.980443221391,-1.5728455836983,54.980443221391,-1.5728455836983
015/02224/006,"A193 Millers Road - from A193 / A188 R/bt to A193 / A187 R/bt",018,02224,Principal,"MILLERS ROAD",277,"South Heaton",A193-0110,A193-0205,427330,565174,427367,564902,54.980344638741,-1.5729247638077,54.977898143608,-1.572372576335
003/05091/005,"A193 Shields Road Bypass - A193 / A187 R/bt",003,05091,Principal,"SHIELDS ROAD BYPASS",124,"South Heaton",A193-0205,A193-0205,427367,564902,427367,564902,54.977898143608,-1.572372576335,54.977898143608,-1.572372576335
003/05091/010,"A193 Shields Road Bypass - A193 / B1312 Byker Bank R/bt",003,05091,Principal,"SHIELDS ROAD BYPASS",113,"South Heaton",A193-0240,A193-0240,426542,564621,426542,564621,54.97541742609,-1.5852893890182,54.97541742609,-1.5852893890182
015/01335/005,"A187 Fossway - from Boundary (Philiphaugh) to A187/A186 Waverdale Avenue R/bt",003,01335,Principal,FOSSWAY,172,Walkergate,A187-0005,A187-0010,429576,565654,429409,565614,54.984530095252,-1.5377790669768,54.984180505391,-1.5403929966794
015/01335/010,"A187 Fossway - A187 / A186 Waverdale Avenue R/bt",003,01335,Principal,FOSSWAY,81,Walkergate,A187-0010,A187-0010,429409,565614,429409,565614,54.984180505391,-1.5403929966794,54.984180505391,-1.5403929966794
015/01335/040,"A187 Fossway -  B+Q R/bt",003,01335,Principal,FOSSWAY,67,"South Heaton",A187-0045,A187-0045,427493,564966,427493,564966,54.97846637436,-1.570397664236,54.97846637436,-1.570397664236
015/01335/045,"A187 Fossway - from  B+Q R/bt to A187/A193 Millers Road R/bt",003,01335,Principal,FOSSWAY,113,"South Heaton",A187-0050,A187-0055,427475,564954,427382,564891,54.978359523372,-1.5706800718974,54.977798462412,-1.5721392498424
005/00304/008,"A188 Benton Road - Southbound - from Bullnose to Dovedale Gardens / Buckthorne Grove R/bt",005,00304,Principal,"BENTON ROAD",645,Dene,A188-0015,A188-0020,427136,567937,426949,567324,55.005186279272,-1.5756943408782,54.999687425629,-1.5786759714885
005/00304/011,"A188 Benton Road - Cornel Road R/bt",005,00304,Principal,"BENTON ROAD",49,"North Heaton",A188-0060,A188-0060,426908,567150,426908,567150,54.998125909234,-1.5793333116549,54.998125909234,-1.5793333116549
005/00304/020,"A188 Benton Road - Northbound - from Dovedale Gardens / Buckthorne Grove R/bt to Bullnose",005,00304,Principal,"BENTON ROAD",640,Dene,A188-0025,A188-0030,426942,567327,427130,567934,54.999714765455,-1.5787851246208,55.005159645471,-1.5757884401079
005/00304/012,"A188 Benton Road - Southbound - from Cornel Road R/bt to A188 / Etherstone Avenue R/bt",005,00304,Principal,"BENTON ROAD",290,"North Heaton",A188-0065,A188-0070,426913,567135,426963,566850,54.997990834267,-1.5792565569765,54.995426839296,-1.5785017554714
005/00304/016,"A188 Benton Road - Northbound - from A188 / Etherstone Avenue R/bt to A188 / Cornel Road R/bt",005,00304,Principal,"BENTON ROAD",292,"North Heaton",A188-0075,A188-0080,426956,566848,426905,567136,54.995409244363,-1.5786113677958,54.998000253657,-1.5793815269308
005/00304/013,"A188 Benton Road - Etherstone Avenue R/bt",005,00304,Principal,"BENTON ROAD",38,"North Heaton",A188-0085,A188-0085,426960,566850,426960,566850,54.99542700175,-1.5785486514625,54.99542700175,-1.5785486514625
005/00304/014,"A188 Benton Road - Southbound - from Etherstone Avenue R/bt to A188 / A1058 Coast Rd R/bt",005,00304,Principal,"BENTON ROAD",289,"North Heaton",A188-0090,A188-0095,426965,566840,427030,566564,54.995336861156,-1.5784714335119,54.992852929202,-1.5774814168364
005/00304/015,"A188 Benton Road - Northbound - from A188 / A1058 Coast Rd R/bt to Etherstone Avenue R/bt",005,00304,Principal,"BENTON ROAD",288,"North Heaton",A188-0100,A188-0105,427002,566554,426958,566839,54.992764578508,-1.5779200278785,54.995328253233,-1.5785809514253
018/00723/005,"A186 City Road - Swan House R/bt",016,00723,Principal,"CITY ROAD",322,Ouseburn,A186-0705,A186-0705,425107,564142,425107,564142,54.971187005779,-1.6077521786431,54.971187005779,-1.6077521786431
018/00723/007,"A186 City Road - from Swan House R/bt to Melbourne Street",016,00723,Principal,"CITY ROAD",99,Ouseburn,A186-0710,A186-0805,425194,564151,425287,564181,54.971263498418,-1.6063922183317,54.97152839942,-1.6049366643517
003/03214/005,"A186 Walker Road - from Ouse Street to A186 / B1314 Allendale Road R/bt",020,03214,Principal,"WALKER ROAD",1374,Byker,A186-1105,A186-1110,426509,564196,427764,563700,54.971599697923,-1.5858442950049,54.96707380138,-1.5662858086051
003/03214/006,"A186 Walker Road - A186/B1314 Allendale Road R/bt",020,03214,Principal,"WALKER ROAD",54,Byker,A186-1110,A186-1110,427764,563700,427764,563700,54.96707380138,-1.5662858086051,54.96707380138,-1.5662858086051
003/03214/007,"A186 Walker Road - from A186 / B1314 Allendale Road R/bt to Church Street",020,03214,Principal,"WALKER ROAD",1724,Walker,A186-1115,A186-1205,427778,563694,429324,563850,54.967019099253,-1.5660676964043,54.968332507345,-1.5419018366988
021/00214/005,"A186 Bath Street - from White Street to Welbeck Road R/bt",020,00214,Principal,"BATH STREET",490,Walker,A186-1305,A186-1310,429516,564348,429509,564830,54.972796685367,-1.5388512569515,54.977128817122,-1.5389109918162
021/00214/006,"A186 Bath Street - Welbeck Road R/bt",020,00214,Principal,"BATH STREET",48,Walkergate,A186-1310,A186-1310,429509,564830,429509,564830,54.977128817122,-1.5389109918162,54.977128817122,-1.5389109918162
020/02863/005,"A191 Salters Road  from - Kenton Road R/bt to A191 / Jubilee Road R/bt",022,02863,Principal,"SALTERS ROAD",880,"West Gosforth",A191-0505,A191-0510,423220,567586,423990,568008,55.002229932872,-1.6369529528929,55.005985940501,-1.6248788209547
020/02863/006,"A191 Salters Road - A191 / Jubilee Road R/bt",022,02863,Principal,"SALTERS ROAD",49,"West Gosforth",A191-0510,A191-0510,423990,568008,423990,568008,55.005985940501,-1.6248788209547,55.005985940501,-1.6248788209547
020/02863/007,"A191 Salters Road - from A191 / Jubilee Road R/bt to B1318 High Street",022,02863,Principal,"SALTERS ROAD",439,"West Gosforth",A191-0515,A191-0605,424005,568015,424417,568164,55.006048126362,-1.6246436906719,55.007367148492,-1.6181888553324
023/03339/005,"A186 Westgate Road - from Beadling Gardens to A186 / Wingrove Road R/bt",024,03339,Principal,"WESTGATE ROAD",194,Wingrove,A186-0105,A186-0110,422425,564569,422612,564516,54.97515240063,-1.6496188570855,54.974667633802,-1.6467013042824
023/03339/006,"A186 Westgate Road - A186 / Wingrove Road R/bt",024,03339,Principal,"WESTGATE ROAD",45,Elswick,A186-0110,A186-0110,422612,564516,422612,564516,54.974667633802,-1.6467013042824,54.974667633802,-1.6467013042824
023/03339/007,"A186 Westgate Road - from A186 / Wingrove Road R/bt to A189 St James Boulevard",024,03339,Principal,"WESTGATE ROAD",1679,Elswick,A186-0115,A186-0120,422627,564512,424251,564090,54.97463100452,-1.6464672591975,54.970762070024,-1.6211295735838
023/03339/008,"A186 Westgate Road - from A189 St James Boulevard to Pudding Chare",024,03339,Principal,"WESTGATE ROAD",561,"Westgate (City Centre)",A186-0120,A186-0205,424251,564090,424797,563963,54.970762070024,-1.6211295735838,54.969593844424,-1.6126106815536
023/03339/010,"A186 Westgate Road - from St Nicholas Street to Pudding Chare",024,03339,Principal,"WESTGATE ROAD",216,"Westgate (City Centre)",A186-0125,A186-0405,424995,563897,424798,563952,54.968990807566,-1.6095232746511,54.96949493702,-1.6125960109638
013/01876/005,"A191 Kenton Lane - from A167 R/bt to Kenton Road junction",011,01876,Principal,"KENTON LANE",1742,Kenton,A191-0305,A191-0405,421424,567519,423119,567807,55.001708340664,-1.6650380539135,55.004220768966,-1.6385142047303
